 "i" , "p" , "o" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/x11proto-core-7.0.31-1~ubuntu16.04.2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libxcb-1.11.1-1ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/globus-ftp-control-6.8-2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/globus-gsi-sysconfig-6.9-2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/systemd-229-4ubuntu21.4" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/pcsc-lite-1.8.14-1ubuntu1.16.04.1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/gmp-2%3A6.1.0%2Bdfsg-2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/json-c-0.11-4ubuntu2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/ubuntu-keyring-2012.05.19" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/procps-2%3A3.3.10-4ubuntu2.4" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/krb5-1.13.2%2Bdfsg-5ubuntu2" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/python-ipaddress-1.0.16-1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/libffi-3.2.1-4" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/sqlite3-3.11.0-1ubuntu1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/gdbm-1.8.3-13.1" ,
 "http://dockerpedia.inf.utfsm.cl/resource/SoftwareImage/dockerpedia-pegasus_workflow_images_pegasus-4.8.5" , "http://dockerpedia.inf.utfsm.cl/vocab#containsSoftware" , "http://dockerpedia.inf.utfsm.cl/resource/PackageVersion/makedev-2.3.1-93ubuntu2~ubuntu16.04.1" ,
